# V    B-V
18.725 0.387
19.908 1.499
17.690 1.223
19.183 0.957
18.187 0.702
15.467 0.833
17.966 1.474
16.488 1.067
15.094 0.766
17.334 0.715
19.262 0.511
19.827 1.409
18.799 1.319
20.225 1.012
18.638 1.382
17.244 0.722
18.143 1.134
18.562 1.467
20.892 1.690
16.196 0.998
18.409 1.443
18.330 1.430
18.165 0.529
19.132 0.579
18.819 0.622
18.315 1.512
19.942 0.494
21.091 1.389
17.503 1.301
17.429 1.332
19.378 1.031
18.564 1.570
17.558 1.111
16.929 0.891
19.340 1.466
19.685 0.707
18.095 1.399
18.040 1.440
19.557 1.449
19.638 0.790
17.434 1.111
19.693 1.301
17.385 0.815
18.696 1.122
16.057 0.917
16.137 0.714
17.203 0.783
17.656 0.708
19.073 1.490
19.676 1.543
17.372 1.277
17.284 1.255
14.551 1.071
17.160 0.781
15.114 0.810
19.581 0.458
